,Date,Headline,Comment,Rating
0,2021-09-05T01:49:54Z,Great Service,Very easy process and great quality produce. Happy to recommend this service to anyone especially during this lockdown. Thanks HF.,5
1,2021-09-04T22:51:01Z,The food is absolutely amazing as is the service which is fantastic as well.,"The food from company name is excellent, extremely fresh and beautifully packaged. The website is very easy to use and the delivery service is fantastic. Considering the adversities at the present moment with COVID it is an amazing service to households. I would thoroughly recommend to everyone.",5
2,2021-09-04T11:27:01Z,Fresh and great service!!,"Fruits, vegetables and seafood are always fresh and also other products are great too!! I am a very happy customer. I would definitely shop again!",5
3,2021-09-04T09:00:13Z,Simple environmental considerations,"The service was great as was the produce. However, I was disappointed that I received a giant cardboard box approx 60 x40cm which contained 2 small items- a loaf of bread and crumpets. It made me consider if I could justify ordering online in future.",3
4,2021-09-04T05:59:18Z,Two great experiences sending gourmet food,Have used company name twice to send gourmet foods to an elderly family member in lockdown. Have been extremely happy both times.,5
5,2021-09-03T21:46:29Z,"Opening my box is like  receiving a colourful, healthy, surprise gift!","Carefully packed, beautifully fresh and so colourful, our box of fruit and vegetables brightens our day. Minimal packaging , maximum product .",5
6,2021-09-03T20:51:33Z,Excellent quality,"Thank you for your quality produce. It’s always exciting to unpack the boxes. I also appreciate your plastic-less packaging, so much more sustainable.",5
7,2021-09-03T06:09:42Z,Very convenient way to shop,This was my first online order with company name and I found it to be a much better experience than other major supermarkets. The fruit and vegetables were very fresh and the groceries were packed well,5
8,2021-09-03T00:00:08Z,Worst experience ever,"Did an order online. Took 2 days to arrive which is fine. The time slot booked was between 2-5pm and it arrived at 8.45pm. One item was missing and it was invoiced. No prior notice about the product being not available until I had to chase up for it. One would think when an item is not available, you will not be able to order at the time and also not invoiced??? Complete mess. ",1
9,2021-09-02T21:41:40Z,Fantastic quality!,This is the second time we have had a delivery from company name and I can’t fault it. The range is excellent and the quality is the best! ,5
10,2021-09-02T21:35:34Z,Great quality!,"We’ve had the farm boxes delivered a few times now, and couldn’t be happier. Fresh, yummy produce, and a great variety. 
Thank you ",5
11,2021-09-02T09:59:19Z,This is perfect service . I am loving it,"Easy convenient  on line ordering and efficient delivery , items are carefully and professional packed . Over all , it was a great shopping experience.
",5
12,2021-09-01T04:25:09Z,The quality of the produce is excellent,The title says it all. Absolutely no complaints about the quality and value for money of the produce. The only hiccup was when I inadvertently ended up with five kilos of Mandarins instead of five items. A definite ooops for not rechecking the order  ,5
13,2021-09-01T03:35:47Z,company name is amazing,company name have provided a seamless home delivery service. They are diligent in ensuring refunds are processed for items unavailable. The tracking functionality of the delivery is also incredible. Thank you so much company name!,5
14,2021-08-31T09:48:34Z,Absolutely beautiful produce,"Had a box of fruit delivered to my sister who is in lockdown, the produce was so fresh and she is enjoying the fruit and yogurt, thank you so very much ",5
15,2021-08-31T09:44:35Z,Easy to shop,"Thank you for packing such good quality fruit and vegetables 
Really fresh 
Meat and cheese came in a cold bag
Tracking was so easy ",4
16,2021-08-31T04:48:55Z,Mixed up but fixed up,A couple of errors were made in over 20 selections but quality is excellent and mistakes are put right without a fuss online.,4
17,2021-08-30T22:46:16Z,Great service and a special thank you to the hard working and polite driver,I was so happy with the great food and service and wanted to give a special complement to the hard working and polite delivery driver (Navid).                                ,5
18,2021-08-30T12:51:03Z,My goto and trustworthy place for organic veggies,"I’m so glad to have found them, top notch quality based products and service always !
Will definitely recommend company name to all my friends ",5
19,2021-08-30T11:06:51Z,The answer to my on-line  shopping,"You provide an efficient, prompt and high quality service. Your product range is very good. I have one negative comment - please do NOT substitute a product to replace an ordered item which is unavailable.",5
20,2021-08-30T10:10:03Z,Fresh fresh fresh,"Delicious, abundant and quality fresh produce beautifully packaged. The weekly fruit and veg box with recipes included are fantastic. Definitely a converted customer now. 
Thank you! ",5
21,2021-08-30T03:24:58Z,Online order,Very disappointed when I did an online order today and I find the order comes from Homebush Sydney.  I live in Lake Macquarie why is it not coming from my local company name at Cook Hill. Won’t be ordering from company name again,1
22,2021-08-29T23:18:15Z,Reliability is a great thing in these uncertain times,"The web site is easy to use.That is a boon for an 80yr old living alone. 
The order is delivered as scheduled, well packed in recyclable boxes. The tracking ability is great.
Another reliable aspect is the good quality and prompt refund if items are out of stock. such certainty is so reassuring just now.
It is simply the best food delivery service available. 
Now if only you sold cat food I wouldn't have to shop anywhere else --------- ",5
23,2021-08-29T23:02:42Z,Great produce and service,"My first order with company name - very happy.
Quality produce, excellent range of goods, delivery as promised and excellent  communication. Thanks",5
24,2021-08-29T19:24:44Z,Glad to Receive Quality Vegetables,"As we can't access our local company name at the moments it was really great to still be able to order and receive our fruit and vegetables, plus other products we have come to love from company name delivered to our door ",5
25,2021-08-29T19:24:44Z,Glad to Receive Quality Vegetables,"As we can't access our local company name at the moments it was really great to still be able to order and receive our fruit and vegetables, plus other products we have come to love from company name delivered to our door ",5
26,2021-08-29T11:39:16Z,The foods are fresh,I like the  foods are fresh. But I hope the drive will leave my order in front of our door. ,4
27,2021-08-29T11:03:23Z,"Please unpack now, I need the blue bags back","I have always loved shopping at HF. But I found it is really annoying that the driver driver demand that ‘please unpack now, I need the blue bag’. 

Isn’t it meant to be a touch free delivery?
We are more than happy to return the bags, perhaps a ‘blue bag recycle’ program will be helpful? ",1
28,2021-08-29T09:18:25Z,Lockdown win!,Quality produce and a delight to explore the box delivered in lockdown. Products lasted well and were delicious.  Will use again and again.,5
29,2021-08-29T00:58:03Z,Consistent quality food,"I cannot state enough, how consistent the quality of the food delivery is…it’s a wonderful peace of mind during this pandemic. Very rarely are there any errors, if ever it happens, it’s sorted instantly.",5
30,2021-08-29T00:13:51Z,Good but....,"In general I am happy with the service. The veg and fruit were good.
One of the one litre milk items was past used by on delivery.
Others had fairly short times and didn't make it to the end of the week.
Received trout instead of salmon. Which wasn't on the substitution note.",3
31,2021-08-28T12:02:47Z,Great shopping and delivery experience!,Farm fresh vegetables and fruits! Milk and savoury items in a little cold pack! On-Time delivery! It saves time from my day! I can't think of anything better than this during this time.,5
32,2021-08-28T06:16:29Z,Fresh product good service quick delivery,"I like to do online shopping with company name  
Easy to shop online the pictures of product are clearly 
Good price 
Delivery on time 
Staff well trained 
Good service ",5
33,2021-08-27T23:27:53Z,"Wow, excellent quality and service",So happy with the quality and value of the produce. Freshness is amazing. I'll never buy from the supermarket again! Thank you company name ,5
34,2021-08-27T08:46:10Z,So easy to send lockdown surprise !!!,"Ordering easy. Invoice inform order done ! Loved tracking ! 

Thank you company name for perfect way to surprise those in lockdown . ",5
35,2021-08-27T06:31:36Z,Awesome quality produce and service,"Quick delivery, awesome tracking app and communication, really fresh food which was well packaged in recyclable/reusable boxes and bags. Thanks so much!",5
36,2021-08-27T04:14:09Z,"Great produce, efficient service","company name is a great business with fabulous produce and is a well run organisation.  I love the fact that they are considering more and more environmental ways of delivering orders.
",4
37,2021-08-27T00:38:01Z,Fantastic produce & service,"The produce is beautiful & fresh. Great selection of dairy, meat & groceries. The customer service is friendly & helpful. We are very happy.",5
38,2021-08-26T07:45:08Z,Very poor service!,"I ordered 3 meal packs. The delivery came with the grocery items but no fruit and veggies. 
I rang up and they said they would correct it. About 4 days later I received a delivery with 4 potatoes only! In the end we demanded a refund. I think HF has got lazy and rushing their orders. It's a shame as I've always really like HF products. 
Won't be ordering again as they cant get it right. 
",1
39,2021-08-26T06:11:17Z,Very impressed,This was my 1st order as in a lockdown area .& very impressed with produce & tracking delivery. We need a company name in our area please.,5
40,2021-08-26T03:37:34Z,Online grocery shopping - an evolving journey,"The first order I placed contained great produce and was delivered right on time. Great experience. I have since ordered twice more, each order about a week apart. The two subsequent orders arrived with significant delay and were also missing between 4 to 8 items I had been charged for. 

After I contacted the online desk and sent an email detailing the missing items it took 3 days to be delivered to me. The next order had 4 times missing and that was resolved by the Service Desk without any fuss.

I have since placed a further order and it went through without a hitch.

Sometimes teething pains are inevitable and we must all strive to be a little bit more patient with each other. This is a new world for us all and we must now navigate it together.

",4
41,2021-08-26T01:51:38Z,Great service,"Pleased with my delivery.  Just one thing, I was not able to order dinner rolls, i think they come in a six pack from your bakery.  Hopefully I will be able to do it with my next order.
Secondly, one item missed, the birdseye chillies - value $1.12.  ",5
42,2021-08-25T23:50:48Z,Great website and selection of products,"Love your website and the ease of use plus the product selection. Living in QLD and loving to send gifts to family and friends, I have found company name to be the smartest and stress free option. I can mix the order up between fruit and veg and specialty items to surprise. ",5
43,2021-08-25T21:49:56Z,Love company name!, Getting home delivery while in lockdown is just like getting a Christmas present. Thanks to all the hard working team!,5
44,2021-08-25T20:44:54Z,4 items missing & mouldy pear first order.,"My first order $182.27 but 4 items missing (cos lettuce, 4 red capsicums, broccoli & 1/2 cauliflower) and one pear was mouldy. Rang twice to ask for these items to be delivered, offered a refund, but I explained I needed the capsicums for a particular recipe. I asked to speak to a supervisor or manager to arrange delivery of the missing items. Waited for a long time but none available. Told one would ring me, but still waiting. The remaining items in my order were in good condition. A disappointing first order and poor customer service so far. I am hoping that someone from company name can resolve this satisfactorily. ",1
45,2021-08-25T09:14:40Z,Top Notch,"An efficient, reliable and professional family run business that was worth shopping with online. The product range was impressive and affordable. I will definitely continue to use company name's home delivery service and encourage my friends and family to do so too.  ",5
46,2021-08-25T08:50:00Z,Fresh fruit and veggies.,"The fruit and veggies are fresh, I can buy Norco skim milk and the app let’s me know when the order is coming.",4
47,2021-08-25T07:53:02Z,Fantastic Company with fast and efficient delivery. Amazing.,"Fresh fruit n veg, amazing cuts of meat. All affordable and delicious. Amazing offers when spending a certain amount.

Delivery is fast.",5
48,2021-08-25T03:34:14Z,Never delivers on time,"I love shopping at company name Lindfield and have been testing their delivery service for the past month. The range of products available online is not as wide as in store. The deliveries never arrived within the time frame selected, twice up to an hour late. Today I got a little pot of dead coriander. ",1
49,2021-08-25T01:13:32Z,"95% of order missing, told delivery another 2-3 days, their error. Groceries for wk, had to say forget it!",What a shame as I was looking forward to order but 95% of it was missing. Not a great experience unfortunately.,1
50,2021-08-24T23:07:06Z,Great first experience!,"Reliable, fast, efficient. Free delivery and order packed well, not squished up. Great range of products available. Very happy with the service.",5
51,2021-08-24T21:47:02Z,Lockdown Delights,"This was my first online order with company name Markets and I can't fault them.  It was a gift to my daughter who is in lockdown in Sydney.  It arrived in perfect condition on time :)  My daughter was delighted,  Great quality produce.  I will definitely be back, thank you :)",5
52,2021-08-24T00:49:11Z,Loved it!!,The site is easy to move around. Wide range of products. Great quality. Always delivered on time. Will continue to use online service. Thank you.  ,5
53,2021-08-23T22:49:48Z,Great products available online,Happy with the variety available and the delivery options but not happy that products like milk and cream had a shelf life of 2 days from delivery. Not good enough expect a week at minimum ,4
54,2021-08-23T22:49:25Z,It's a lot better than I expected!,"Very pleased with everything: online page/selection/ the actual produce itself & most importantly service.  
The only negative was the fruit selection. ",5
55,2021-08-23T05:26:30Z,Fantastic Service!! Very happy customer!!,"First time user and the whole experience was fantastic. It was a gift to my daughter in lockdown and she was thrilled to receive the items and thrilled with the quality.
I was happy with the price, with the updates on delivery and the quality of the products was excellent.
I will definitely use company name online store again.",5
56,2021-08-23T04:03:52Z,Wow! What amazing customer service,"Our son (who shops weekly in the Drummoyne store) was in lock-down on his birthday this week. Following a fantastic email thread with customer services, he had a wonderful surprise when his birthday meal and bottle of Prosecco was delivered to his unit - ordered by me in the UK! Apparently it all tasted really good too! Thanks a million.",5
57,2021-08-23T02:40:04Z,Birthday treats,"Again, a wide range of of reasonably-priced delicious food and reliable delivery - perfect for keeping in touch with my family abroad",5
58,2021-08-23T02:09:36Z,Improve on price labels,Although the shop have a lot of good variety of food. But could improve on labelling . Sometimes the label wasn’t clear or no labels . So we don’t know the price which is not very helpful. ,2
59,2021-08-22T22:28:56Z,Very good service and delivery time and arrival.,"The only problem I find with the online store is that not all products that are in the Drummoyne NSW store are available on line.
",4
60,2021-08-22T22:09:26Z,Excellent service.,Excellent service provided with prompt delivery according to the delivery window chosen and all products were packaged well and of good quality.,5
61,2021-08-22T21:31:16Z,To Good To Be True,"Easy to navigate the web site, easy to order.  Usually delivery is available next day although at the moment, due to lockdown it may take a couple of days to get a delivery spot.  Once delivery is booked, when it has left the shopper is notified with a very easy to follow tracking.  Food is of the highest quality, a good selection.  Highly recommended and I will definitely use regularly.",5
62,2021-08-22T20:30:50Z,Great produce and great service,"Delivery is easy, produce is great and there is a really good selection of products and recipe ideas on the site.",5
63,2021-08-21T06:17:56Z,A lockdown lifesaver,"Quality produce, quick and reliable delivery makes a lot of difference during this difficult time. At least our meals can be as good as they were when we were able to shop in person.",5
64,2021-08-21T01:33:55Z,Home Delivery Service a shambles & lack of email response,"Ordered some groceries from the online store for delivery. 
Delivery was scheduled for Wednesday and I received a text that morning advising due to unforeseen warehouse issues delivery would be rescheduled to Thursday. 
On Thursday morning I got an sms advising that due to unforeseen warehouse issues delivery would be between 6-9 am on Saturday. 
I emailed straight away advising company names I would like to cancel the order and a refund. 
They did not respond to the email. 
At 820am on Saturday a delivery arrived from them. 
There were only 4 of 10 items ordered actually delivered.  I received an email advising a credit for one of the missing items and no credit for the remaining 5 items missing. 
Very poor experience all round and I would not consider ever using their online store again. 
Communicating to your customers is an entry level requirement in providing the most basic customer support. ",2
65,2021-08-21T00:36:41Z,An excellent store for wholesome fresh foods,"Top quality fruit veggies, meats and dairy.  Always fresh. Service is excellent. We love shopping at company name, and online delivery to our door is so convenient. Thank you company name!",5
66,2021-08-20T22:19:36Z,Your magnificent drivers,"I am always delighted with my company name delivery, and want to heap praise on the amazing young drivers, the men and women who bring me all this delightful food. I have had fantastic experiences with these drivers. A classic story was a young man from Africa, (I have made this country of origin up to protect his identity for reasons that will become obvious), who took time and trouble to graciously ensure I was ok, eg, unpacking the heavier items for me. He was respectful, engaging and efficient. I told him to please tell his Mum that this old, bedridden Australian woman, wanted her to know that she had done a fantastic job in bringing up an amazing young man. I laughed loudly at his response, ‘She has heard you, I am talking to her on the phone at the moment.’ Just one of many unforgettable experiences with your drivers.
Please recognise and affirm the amazing work these men and women are doing. Please pay them more. 
Jane Mears",5
67,2021-08-20T21:13:52Z,This was great!,"Thank you company name. 
I was so impressed with my delivery. Great tracking service. 
The seafood looked fresh and delicious. Flowers came in a box and groceries were packaged well. 
A very good experience!",5
68,2021-08-20T21:05:39Z,A joke,Order was due to arrive on Wednesday. It’s finally *apparently* arriving on Saturday and they still have the nerve to charge $15 for delivery. Definitely going back to the majors as obviously company name can’t cope with the volume of orders during the pandemic. ,1
69,2021-08-20T13:17:53Z,Completely missing central ingredient of meal box,"The central and most expensive ingredient of our order of the beef rump caponata meal box (the actual beef rump) was completely missing from our online delivery. We're in lockdown and I appreciate the service and it's difficult times, but if the central ingredient is missing, what's the point?",2
70,2021-08-20T09:17:59Z,Thank you!,Fantastic service and quality of produce without having to leave my home- quality vegetables and also dairy!!! thank you so much for this goodness! ,5
71,2021-08-20T09:09:17Z,Brilliant service and product quality.,Great range and really good quality produce. Fantastic to be able to order fresh fish as well. Will definitely use again ,5
72,2021-08-20T07:12:42Z,Terrible communication and service,"Couldn’t deliver at the selected time, the alternative was not suitable and I stated that, no response so I followed up again confirming it was not suitable to find they delivered anyway and now my fruit and veg has been sitting out all day not to mention my avocados have been smashed and my spinach is all wilted. Beyond disappointed ",1
73,2021-08-20T05:24:44Z,Keep away from this arrogant “family” business,"What is the point of ordering the Milkrun delivery slot 4am -7am if your order is consistently leaving the warehouse after 6:30am or like mine did today at 6:50am. They do not care. Once my delivery arrived at 10:30am. Customer service is useless, they open a 9am. I would have given them ZERO stars but couldn’t. I’m ordering from Lettuce from now on. They are useless and arrogant. Nothing “family” about them.",1
74,2021-08-20T04:36:35Z,This can improve please,"My 4am to 7am delivery this morning, Friday, 20th August 2021. The cold pack with 4 x 2L bottles of milk = 8L, was placed right on top of the cardboard box housing two live lettuces and half a dozen eggs, and other purchases. The lettuces were a bit squashed and one of the six eggs was cracked. PP#979798",2
75,2021-08-20T04:36:35Z,This can improve please,"My 4am to 7am delivery this morning, Friday, 20th August 2021. The cold pack with 4 x 2L bottles of milk = 8L, was placed right on top of the cardboard box housing two live lettuces and half a dozen eggs, and other purchases. The lettuces were a bit squashed and one of the six eggs was cracked. PP#979798",2
76,2021-08-20T04:08:33Z,SO DISAPPOINTED!! My delivery got several items missing and delayed.,"There are several items missing in the package but not mentioned in the tax invoice sent by email. Not to mention the order was postponed due to some warehouse issues but still is not prepared well. And when I tried to fill the customer review rating, after spending the time to fill the form, the website said there is an error occurred. So what is the point to ask for a review if you do not want any negative feedback? Please try to deliver what customers ordered.",1
77,2021-08-20T02:00:25Z,My 3rd online delivery,"This was my third online delivery.
My first delivery I was very happy with packed well and veggy's and fruit looked good.
My 2nd delivery I got brussel sprouts instead of beans, and the wrong mushrooms which I excepted without complaint.
My third and final delivery packed terrible the tomatoes, bananas and mangos were at the bottom of the box with potatoes, onions carrots thrown on top, the bananas were badly bruised, mangos also if the tomatoes had been ripe they also would have been bruised. Delivery windows was between 18:00 and 21:00 didn't arrive until 22:20.
Disappointed and this will be my last order from company name I will not be rewarding them with even visiting there store. ",2
78,2021-08-19T21:01:08Z,It would be a 5 if I got my bagels!!!,Your service is great and would be 5 gold stars if I got my whole order. I’ve ordered from company name about 9 times now since lockdown in Sydney and I’ve only received the Brooklyn boy bagels once. Seems bakery items are low stock. ,4
79,2021-08-19T12:32:03Z,Far from ideal under the circumstances,"Ordered online during mandatory quarantine so really needed some groceries for the whole family. Order was filled except for a couple of items, which were subsequently refunded. Told delivery was on its way with an expected ETA 3 hrs which would have been within the requested delivery window. Instead delivered several hours later in the night. Driver left before we got to our items. We noticed several items were missing. Replied to their support email due to the late hour asking for the items or a refund and to let me know what they would do. Never received a reply to that email. I did get sent a notification of the delivery the next morning which even had photos which clearly showed we couldn't have possibly received our entire order. I felt good about supporting a local Australian business but have found this to be a terrible experience. I won't use them again and will (and have) recommend the same to others.

Update:
I've added a star. I did end up receiving a response eventually. It was very well written and a refund for the missing items was received. Support staff in general have a thankless task, so I can only imagine what pressure they are under. ",2
80,2021-08-19T12:24:12Z,You guys knocked it out if the park,As the covid cloud extends I found the veggies I was buying at bigger supermarkets weren’t great… but one order from company name and I’m a believer… my fresh veggies are so fresh and delicious and I’m really good condition… keeping me healthy and strong … I’m a fan of company name now and intend on continuing to buy and use in future as a result!,5
81,2021-08-19T08:27:49Z,Terrible customer service and unreliable delivery,I placed an order on Monday for delivery on Wednesday.  I was advised by email on Wednesday afternoon after delivery window had commenced that they had warehouse error and I would now receive my order on Thursday afternoon.  My order was still showing unfulfilled by Thursday afternoon so I phoned customer service again and after waiting for 20 minutes was advised warehouse error again and my order was now rescheduled for delivery on Saturday.  No apology or communication in advance to changing my delivery date a second time.  I cancelled the order as they gave me no confidence I would receive order on Saturday.  It’s a shame as they have good products but very poor customer service and logistics and no complaints handling procedures. Not worth the stress of not knowing when you may get your order and having to wait 2 to 4 business days for a refund for an order you didn’t receive.,1
82,2021-08-19T06:23:04Z,Delivery service cancelled with no notice until was due to turn up,"Ordered on a Monday for Wednesday delivery. Wednesday came and at the time the delivery was due, the order was postponed till the next day via email. Thursday arrives, and the same thing happens, rescheduled again for couple of days later. No reason given other than warehouse error. Awful communication (no response to emails) and delivery service.",1
83,2021-08-19T00:12:18Z,Best Market in NSW,"Best produce, best meats and seafood!  Staff is friendly and professional and what would we do without you in these hard times!  I recommend HF to all my friends!",5
84,2021-08-18T12:29:42Z,Could be better,"First delivery was good so I decided to follow up with second order. Second order was a disappointment due to following:
1. Bananas delivered were bruised black and soft on inside, I had to throw out one of them (same day delivered);
2. Replacement item was not indicated on invoice but I also requested not to replace item;
3. No system for delivery driver to take back the company name card board vegetable box for recycling.",3
85,2021-08-17T21:24:42Z,Love it!,"I started ordering company name online recently. Has everything I need, the quality and price of the produce is why I shop here - so good! Ordering online works super well. I like that the bags they are delivered in can be returned. Not all the products are available online, but that hasn't been a problem. Delivery is easy, and cheap. The pre-made veg boxes and recipe kits are great! ",5
86,2021-08-17T10:05:28Z,Amazing variety and quality,"Great variety of fruit, vegetables, meat, dairy and groceries. Quality products at reasonable prices and delivery to your home seamless! ",4
87,2021-08-17T07:31:58Z,Very Good,Pricing has become greater than general market and i believe that during our lock-downs great pricing is the result. More Discount offers for Favourites would be appreciated!,5
88,2021-08-17T00:11:08Z,"Best value, excellent service","Quality, service, staff all excellent. When I hear people say you are 'too expensive' my immediate response is that your produce lasts much longer- can't get better than that!
Sue",5
89,2021-08-17T00:07:56Z,Amazing products,Always prompt deliveries. Fruit and vegetables are always fresh and I love the variety of the everyday pantry products and cold products.,5
90,2021-08-16T10:31:34Z,Excellent produce and service,I have always loved shopping at company name stores - they have a great range of continental grocery items and excellent quality produce. I was a little concerned about ordering fresh produce online - I like to select my produce - but the lockdown has led me to embrace the possibility and I'm delighted.,5
91,2021-08-16T08:17:14Z,"Great quality, brilliant delivery service",The food quality from company names is great.  I ordered a “picnic box” fir my husbands birthday and all the food was perfect.  Everything was carefully packaged in cooker bags (complete with ice blocks!).  The delivery service - which gives you real-time updates on where the delivery van - is is really goo too. ,5
92,2021-08-16T07:20:45Z,Best online food shopping experience,"Quality and price of produce is outstanding. Delivery process was seamless and considerate of current health restrictions. Please open a store in Springwood, its en route to your store in Orange.",5
93,2021-08-16T02:59:14Z,Online Ordering,"First time online user, love everything about this place, easy to use, accurate delivery.  Fabulously fresh fruit & vegetables.    Can't wait to order again",5
94,2021-08-15T23:52:47Z,Best delivery service ever,Fresh vegetables and a different variety than Coles and wollies. Fish looks fantastic and the meat great. The tracking app is fantastic gives you a number in the delivery que and the time countdown.,5
95,2021-08-15T10:12:14Z,Fruit Box,"Great service, very happy with the produce.  Thank you for your business, my family very happy indeed!  Keep up the great work!",5
96,2021-08-15T09:21:36Z,Almost everything was perfect,"Great experience shopping online with company name. Two things
- one item (a pie) was unavailable which left me without a dinner. It happens I get it but SUPER annoying.
-  All the mandarins in our fruit box tasted rotten. They were inedible. ",4
97,2021-08-15T06:08:05Z,Woolworths can't hold a candle to company name for freshness of Vegies and Fruit,"It is such a pleasure to order fresh vegies and fruit and find out when they arrive that they are indeed fresh. I used to shop at the local Woolworths store but after trying their online shop for fresh fruit and vegies I have come to the conclusion that Woolworths is using Robots to pack their online orders as the fruit and vegies are not fresh when they arrive. With the lockdown in Sydney, I was getting desperate until I discovered company name online shopping. I have had 2 online deliveries over the course of  two weeks and what a pleasant surprise it was to find that the fruit and vegies from company name is indeed fresh ! ",5
98,2021-08-15T04:39:49Z,Terrible company to deal with and service is unacceptable,"Bought a birthday dinner for my daughter who i have not seen for nearly a year since lockdown and the order did not arrive.  No one rang to let me know - only found out when i rang up to find out why it was so late.  No apology as to why no one told us and not able to get it to us even the next day - it arrived 2 days later (completely useless).  Asked to speak to the Operations Manager (Warren) who i was assured would ring me back.  Never did.  So upsetting for us especially since we were trying to give her a special night and when you have every other company we used that night turn up with the birthday gifts, wine etc but no food.  Will never use company name again.  ",1
99,2021-08-15T02:32:13Z,Highly recommend,"Quick delivery, great fresh produce and huge reduction of packaging compared to large supermarkets. Great variety of products available especially for allergies ",5
100,2021-08-15T01:16:29Z,Great service,Everything was delivered fresh and cold. Anything not available replaced and refunds given where needed. Greatly appreciated  service in lockdown. ,5
101,2021-08-15T00:09:12Z,Freakin' love company name,"Honestly the best everything- price, convenience, service, quality and also NO EXCESS PACKAGING which is incredible. You guys are awesome.",5
102,2021-08-14T20:27:20Z,"Super easy to use , freshest produce and readily available delivery slots!",Love company names - and now using online and delivery so that we can stay safe! Super reliable and fresh produce! ,5
103,2021-08-14T14:02:27Z,Excellent service,"Good quality produce. Reliably delivery times and excellent customer service the one time 1 called to query a product. Staff are helpful and well trained 
",5
104,2021-08-14T10:42:26Z,First time issues with items,"I was very happy with the products I received and it was convenient having it delivered. I was really looking forward to making the Mexican meal kit, however the tortillas were missing. I wasn’t informed about this before (on the invoice). I was disappointed that I had to call after the delivery to find out the tortillas were out stock and now I can’t make my meal kit. ",3
105,2021-08-14T08:05:27Z,Fresh and delicious produce,"Fruit and vegetables were fresh and in incredible quality, much better than I could have picked from a store! Also great packaging. ",5
106,2021-08-14T04:44:02Z,"Fast, Efficient & packs separately!","Fast, efficient and most of all packs pantry separate to frozen. 1-3 day turnaround! Super fast during lockdowns. What you pay in product you save with delivery and turnaround!",5
107,2021-08-14T00:32:47Z,Very happy customer!,"Beautiful produce, well packaged and delivered with a smile under the mask! High quality fruit, veg and meat and the convenience of a full shop including nuts and dried goods straight to your door even in the suburbs. ",5
